Text,Speaker
"rach, y'know i can see you naked any time i want.",ross
what?,rachel
all i have to do is close my eyes. see? woo-hoo!!,ross
ross! stop that!,rachel
"ah, i’m sorry.",ross
come on! i don’t want you thinking of me like that any more!,rachel
"ahh, sorry, nothing you can do about it. it’s one of my ah,",ross
stop it! cut it out! cut it out!,rachel
"okay, okay, i’m sorry, it will never happen...",ross
rosss...,rachel
"come on, would you grow up? it’s no big deal.",ross
all right. fine.,rachel
yowzah!!!,ross
"o-kay!! see what you did, i’m gonna be doing it by myself now.",rachel
"aww, come on.",ross
that’s it. ow!!!,rachel
oh my god!,ross
oh-ow!,rachel
all right.,ross
ow!,rachel
look...,ross
ow!,rachel
okay.,ross
ow!,rachel
rach?,ross
ow! ow!,rachel
easy. easy. you have to go to the hospital. okay?,ross
"okay, i do.",rachel
okay.,ross
i really do.,rachel
"okay, i’m gonna get your coat and then i’ll-i’ll put you in a",ross
"okay. oh wait, wait-wait, you’re not gonna come with me?",rachel
of course i am. i just have to make a call.,ross
okay.,rachel
okay?,ross
thank you. (she goes to take off her make-up and screams in,rachel
"what?! i wh-, what’s wrong?",ross
"i’m sorry, i just can’t go to the hospital lookin’ like this.",rachel
"central perk, monica is trying to find out what phoebe won’t",break
does it involve travel?,monica
noo!,phoebe
does it involve clogs?,monica
"oh, wait, wait. clogs, or claws?",phoebe
clogs.,monica
no.,phoebe
claws?!,monica
no.,phoebe
"okay, so it doesn’t involve ross or rachel or chandler or joey.",monica
no!,phoebe
what is it?! what about pete?,monica
i don’t know!,phoebe
"okay, i feel like i’m talking to lassie. all right, phoebe",monica
i can’t!!,phoebe
"okay, i gotta go.",monica
"i, but you’re so close! no!",phoebe
"okay, does it involve something to do with pete’s computer",monica
"oh, just go. you’re never gonna get it!",phoebe
"chandler and joey's, chandler is watching baywatch with the",break
"i know. see, yes. that’s yasmine bleeth, she’s a completely",chandler
hey!,joey
hey!,chandler
,joey
i did! but the store wouldn’t take her back! so then i took,chandler
"if they can’t find a home for her, they kill her! and i’m",chandler
"okay, good, good, good, ‘cause, good, ‘cause i was kinda having",joey
okay. and it’s not just chicks y'know? it’s all kinds of,chandler
"that’s horrible! well, you did the right thing man.",joey
"thanks, i’m glad you see it that way.",chandler
"ohhh-hoo, funny story!",chandler
"pete’s restaurant’s kitchen, pete is showing monica around the",break
"i don’t believe this! wow, look at this refridgerator! it’s",monica
so you like it?,pete
"oh, it is sooo perfect. thank you so much. (runs over and hugs",monica
"oh, you’re welcome.",pete
did you just smell my hair?,monica
"nooo. uh-huh, no way. what? no.",pete
oh god.,monica
what?,pete
you still have feelings for me don’t you?,monica
"now, nooo! i’m just excited about the restaurant, that’s all.",pete
pete.,monica
"okay, i love you. is that so bad?",pete
"no, it’s not bad. it’s not bad at all. it’s-it’s really nice.",monica
"look, the only who stands to get hurt is me. and i’m okay with",pete
"you may be okay about getting hurt, but i am not okay with",monica
what?,pete
"and well, we probably shouldn’t see each other anymore. i’m",monica
"okay, yeah. i mean... if that’s, if that’s really what you want,",pete
"okay, bye.",monica
i’m sorry things didn’t work out...,pete
all right shut up for a second and let me just see something.,monica
"the hallway between the apartments, ross and rachel are coming",break
"okay, you’d tell me the truth. right?",rachel
"rach, you can’t look fat in an x-ray.",ross
okay.,rachel
"okay! now you stay out here, and you think about what you",chandler
that’s a duck.,ross
"that’s a bad duck!!! how’d the thing go tonight,",chandler
"oh, it was, nah, well....",ross
what thing? what thing?,rachel
"nothing, ah there was this thing at the museum. come on. (they",ross
"okay, now when you come back i hope you",chandler
what thing? what is this thing?,rachel
"i was kinda, supposed to be on tv tonight for the discovery",ross
oh my god!,rachel
yeah.,ross
"ross, why didn’t you tell me that?",rachel
"eh, ‘cause i knew that if i told you, you’d make me go, and i",ross
i cannot believe you.,rachel
what?,ross
"that is the sweetest thing, i just....",rachel
you should get some sleep.,ross
okay.,rachel
"so, i’ll umm...",ross
"oh, i’m sorry i spoiled you’re evening.",rachel
"no, that’s, no, as long as you’re okay. so i’ll ah, i’ll see you",ross
"um-hmm, yeah.",rachel
see ya.,rachel
what did you,chandler
chandler and joey’s bathroom: chandler is watching the duck,break
what ‘cha doing?,joey
having a swim.,chandler
what about the chick?,joey
chicks don’t swim.,chandler
are you sure?,joey
i don’t know. should we try it?,chandler
sure.,joey
"see, i told you they don’t swim.",chandler
wait. give him a minute.,joey
"noo! oh, it’s okay, it’s okay, baby, baby,",chandler
"monica and rachel's, phoebe is on the phone, chandler and monica are sitting in the living room, and ross is in the kitchen as rachel enters from her bedroom.]",break
"oh, phoebe, are you still on hold? i was supposed to call my dad back like two hours ago.",rachel
"oh, yeah, he clipped on, he said call him as soon as you get a chance, he’s at flimby’s.",phoebe
what’s flimby’s?,rachel
"oh, yeah, that’s the word i use when i can’t remember the real thing.",phoebe
okay. hang up! that’s it! come on!,rachel
"no! rachel, that’s what they want me to do. my warranty expires tomorrow, if i don’t get through, they’re not gonna fix my crappy, broken phone for free! we cannot let them win! it’s us versus them!",phoebe
ye-e-es!!,chandler
hey.,joey
hey.,all
"uh, listen i gotta double check for tickets tonight. who-who got what?",joey
i had one.,"chandler, phoebe, and rachel"
i need two. i’m bringing pete. my boyfriend. i have a boyfriend now!,monica
"two it is. ross, how about you?",joey
"uh, yeah, i ah, i also need two.",ross
really? who’s number two?,monica
who’s number two? one of the more difficult games sewer workers play.,chandler
"uh, no, it’s-it’s just this person.",ross
like a date type person?,phoebe
"yeah, kinda. it’s this woman from work. i hope that won’t be too weird. will it, rach?",ross
"no. no, not at all, not at all. i actually was gonna bring someone myself, so…",rachel
but you said one.,joey
"i meant, me plus one!",rachel
"okay. did ah, you guys mean you plus one?",joey
"all right, i’ll see you tonight.",ross
okay.,joey
"okay, bye-bye!",rachel
bye!,chandler
bye-bye!,monica
"okay, i need a date!",rachel
"oh, hey, you guys are finally gonna get to meet kate!",joey
oh!,all
"and i ah, borrowed some of your cologne. i hope she likes it.",joey
"joey, what are you doing?! it’s never gonna happen, she’s seeing somebody.",monica
"yeah, and i don’t have any cologne.",chandler
the green bottle next to the shaving cream.,joey
oh! worm medicine for the duck.,chandler
"monica and rachel's, monica is getting ready to go to joey’s premiere and phoebe is still on hold.]",break
,monica
thanks!,phoebe
uh-huh.,monica
okay. wait! one second! just…,phoebe
phoebe?,monica
"what?! monica, i’m scared!!",phoebe
"all right. honey, that’s-that’s a sleeve. okay?",monica
yeah.,phoebe
and! we also have speaker phone.,monica
"please, stay on the line. your call is important to us.",hold voice
"okay, wait, you gotta hang up ‘cause we’re gonna be late.",monica
"thank you for your patience, you’re the next caller.",hold voice
yes!! yes!! i’m the next caller! you were gonna have me hang up.,phoebe
hey! can you take a duck and a chick to the theatre?,chandler
of course not.,monica
no.,phoebe
okay. i just wanted them to hear it from somebody else.,chandler
"joey’s premiere, rachel is already there with her date, tommy who's played by ben stiller who will be in there's something about mary and meet the parents, as ross and his date, cailin, arrive.]",break
"hey, hey rach!",ross
"oh, hi!",rachel
hi!,ross
how are you?,rachel
good.,ross
hey.,rachel
so it’s looks like we’re the first ones here.,ross
"yeah, looks that way. first ones here! wooo!!",rachel
yay!!,ross
"oh! tommy, this is ross. ross, tommy.",rachel
hey.,tommy
"hey. oh, i’m sorry, this is cailin.",ross
and! break!!,ross
"okay, uhh, i think i’m going to run to the ladies room.",rachel
okay.,tommy
i’ll join you.,cailin
i’ll get our seats.,tommy
"okay. so uh, well, this-this is uh, this is awkward.",ross
yeah?,tommy
well y'know ‘cause rachel and i used to go out.,ross
"oh, i didn’t, i didn’t know that.",tommy
oh! well then this is awkward. so what do you uh…,ross
i think we’re here.,tommy
oh! yeah.,ross
yeah.,tommy
"okay. uh, huh. excuse me, i’m sorry, i-i think you may be in our seats.",ross
"umm, no, i don’t think so.",man
can-can we take a look at your ticket?,tommy
sure.,man
"yep! yeah, see this says d-13, and uh…",ross
"oh, well i thought that ah…",man
"oh, you thought, huh? yeah, well that didn’t really work out too well for you did it you idiot!! what are you?! a moron!! huh?! it says d-13! okay?! look you’re surrounded by even numbers!! did that give you some clue?!",tommy
"uh, the usher told us to come…",man
"oh! oh! the usher must be right! what, with all that training they go through! get out!! hey man, you want the aisle?",tommy
"no, i’m good.",ross
"the theatre, at the post premiere party. the gang is already there, except phoebe. joey runs in.]",break
there he is!,chandler
there’s our star!,monica
"so, so, what’d ya think?",joey
almost as good as that play with the two naked girls on the see-saw.,chandler
i-i wasn’t in that.,joey
i know.,chandler
"oh-oh, hey-hey, kate! listen i want you to meet everybody. everybody, this is kate.",joey
hi!,monica
,director
so that’s the girl you like.,chandler
yeah.,joey
"i’m telling you, this guy rachel is with is crazy! okay? he viscously screamed at total strangers! i think he’s baaad news!",ross
"wait a minute, wait a minute, you don’t like the guy rachel’s dating? well, that’s odd.",chandler
"oh, hey, lauren. uh, you guys this is, this is kate’s understudy, lauren.",joey
"oh, hi!",rachel
hey.,lauren
"hey. gosh, you look soo familiar.",rachel
"oh, yeah! i-i ran into you in the hallway in your building. it was right after i slept with joey. he dumped me the next day.",lauren
so. how’d you guys meet?,cailin
"well ah, the short version is, i ah pursued her for a couple of months, then i gave her a check for 20,000 dollars, and she was mine.",pete
"yeah, and in the long version, i dump him for telling people the short version.",monica
"joey, sweetheart, you were fabulous!",estelle
"hey you guys, this is my agent, estelle.",joey
how do you do. did they have representation?,estelle
"no, they-they weren’t in the play.",joey
we’re not actors.,rachel
"ooh, what a shame! because with her face i could really put something together.",estelle
could i borrow it?,chandler
hi! remember me?,cailin
"hi! yeah! tommy’s in line for the bathroom and someone just cut in front of him, i think he’s gonna snap.",break
"ross, i’m gonna go.",cailin
go? why?,ross
i don’t know. could be because i don’t feel like standing around all night waiting for some guy who may or may not scream.,cailin
"but-but cailin, he definitely will scream.",ross
good bye ross.,cailin
"uh, oh-ho bye.",ross
"boxing day! the lucille lortel theatre, blah-la-la-la… ah-ha! joey tribianni, gives an uneven performance, but mr. tribianni is not the worst thing in this production.",director
yes!!! ha-ha-ha!,joey
kate miller’s awkward and mannered portrayal is laughable. excuse me!!,director
anyone mind if i save this?,joey
"monica and rachel's, monica and rachel are returning. phoebe is still on hold.]",break
hey!,monica
hey!,rachel
"oh, is the play over?",phoebe
yeah. where were you?,monica
"thank you for your patience, you’re the next caller.",hold voice
you were the next caller five hours ago. you must be going crazy.,monica
nah. i kept myself busy.,phoebe
"oh, okay, yeah. i put your stuff in her room, and her stuff in your room.",phoebe
"the theatre, after the party. joey is trying to comfort kate.]",break
hey! are you okay?,joey
fabulous.,kate
"listen, drama critics they’re nothing but, but people who couldn’t make it as actors. you know what you should do?",joey
become a drama critic!,kate
,director
"by the way, he dumped me tonight after he read my review.",kate
"oh, classy.",joey
"yep! i sure know how to pick ‘em, huh? y'know i gave up a part on a soap for this!",kate
"wow! yeah i ah, i gave up a job too.",joey
really. what?,kate
"uh, de-clawing cats. hey, tell ya what. let me walk you home. we’ll stop by every news stand and burn every copy of their times and the post.",joey
why the post?,kate
"oh, you didn’t see the post?",joey
no. you?,kate
no. why?,joey
"kate’s apartment, joey and kate are returning from a night out on the town.]",break
so you really think those newspapers are just jealous of me?,kate
"oh, absolutely! you’re talented and you’re good looking.",joey
"oh, you’re sweet and cute.",kate
i know! that’s why they trashed me!,joey
"whoa. wait a minute, wait a minute.",joey
what?,kate
"i, i don’t get you. i mean first, you hate me. then you sleep with me. then you want nothing to do with me, now you want me again.",joey
what? so you never went out with an actress before?,kate
"kate, do you even like me?",joey
of course i do.,kate
"well so, how come you blew me off? y'know? how come you were with him?",joey
"i don’t know! i just, just do this! i-i always have to pick the like the smartest guy, or-or the most talented guy… why can’t i just pick someone like you?",kate
thanks.,joey
"you know what i mean. i mean like the sweetest guy. joey, you’re just so, you’re so, so…",kate
i’m gonna put this can right here in case you have to hurl.,joey
"monica and rachel's, the next morning, phoebe is still on hold.]",break
please stay on the line. you’re call is very important to us.,hold voice
"pheebs, you’ve been up for 24 hours! go to sleep, honey. th-this isn’t healthy.",monica
"no, no, i’m fine, and y’know why? ‘cause of all the riboflavin.",phoebe
hey!,joey
hey! didn’t you have that outfit on last night?,monica
"yeah! i stayed at kate’s, but ah, nothing happened. hey, pheebs, where were ya?",joey
"i’m so, so, so sorry, joey. i definitely am gonna see you’re play. i swear you’re play is very important to us, thank you for your patience. you’re play is the next play is the next play i’m gonna see.",phoebe
"anyway, how did it go with kate?",monica
"oh, it was great! yeah, i-i walked her home, and it was amazing how much we connected, y'know? then ah, then she passed out, but then she woke up. yeah? and we stayed up all night talking, and now we’re like totally crazy about each other!",joey
"joey, you had the night!",monica
what?,joey
"when two people finally realise their feelings for each other, and-and they talk for hours, and they-they learn all about the other person!",monica
you-you think?,joey
did you like learn about her family?,monica
"two brothers, one died!",joey
yes!!,monica
yeah?!,joey
oh!,monica
"central perk, chandler and monica are sitting on the couch, rachel is on the chair.]",break
this is from the woman at the bar.,gunther
oh-ho-ho-ho.,chandler
sorry. she thought you were somebody else.,gunther
what time is it?,rachel
one.,monica
one.,ross
7:15. watch doesn’t work.,chandler
"tommy’s supposed to be here soon, we’re going to lunch.",rachel
"look. look, i wasn’t going to say anything to you, but... all right, i don’t think you should be seeing tommy anymore.",ross
you don’t?!,rachel
no! the guy is mean. i mean really mean. i think you should stay away from him.,ross
"umm, or, maybe, i should stay away from all men.",rachel
"no, it’s not just ‘cause i’m jealous. i mean i’m not, i’m not, i’m not jealous, okay? it’s… look, the guy, he screamed, he actually screamed at this couple sitting in our seats.",ross
"yeah, and at the end of the play, he, he got up y'know, and he just started like, banging his hands together!",chandler
"okay, fine, fine. you don’t want to believe me? no, that’s fine.",ross
we’re kidding!,monica
"ross, don’t. ross!",chandler
"you don’t want to believe me, i’m mr. funny to you. mr. funny…",ross
whoa!!,tommy
"whoa, sorry tommy.",ross
"what’s in the cup, ross?",tommy
umm…,ross
what is in the cup?!,tommy
"okay, it’s coffee.",ross
ice coffee? tell me it’s ice coffee!,tommy
it’s-it’s hot…,ross
"hot coffee!!! you idiot!! you were gonna spill hot coffee all over me, huh?!! what are you just some big, dumb, stupid, doofy idiot, with a doofy idiot hairdo, huh?! huh?!",tommy
what’s your favourite thing about summertime?,rachel
"umm, going to the beach. when it stays light real late.",monica
yeah…,rachel
hey!,tommy
"tommyyyy! say, what’s your favourite thing about summer?",rachel
"ooh, i don’t know. probably the smell of freshly cut grass.",tommy
"ohh, that’s a good one.",chandler
"backstage at joey’s play, joey is arriving, late.]",break
"sorry! sorry, i’m late; sorry, i’m late! my duck and my chick and a fight, it-it was ugly.",joey
"look, we held the curtain for you buddy. come on, let’s go! let’s go!",stage manager
"vic! where have you been, baby?!",lauren
where’s kate?,joey
she got a job in l.a.,lauren
what?!,joey
i’ve been waiting up all night for ya. where have you been? where have you been? vic?!,lauren
"oh, ahh, go to the window. i’m wanna run down to the truck and show you something.",joey
"what do you got down there, vic? what do you got under that tarp?",lauren
when is she leaving?,joey
tonight. what are you doing?,lauren
i’m coming up!,joey
"monica and rachel's, chandler and ross are in the kitchen, rachel and monica are sitting in the living room, and phoebe is, you guessed it, still on hold.]",break
"hey, mind if i use the phone?",tommy
"oh, i…",phoebe
"why don’t you use ours across the hall, ‘cause she…has…problems.",chandler
"oh-ho, whoa! sorry, tommy. i almost spilled this hot coffee on you.",ross
"yeah, but you didn’t.",tommy
"no, but it’s-it’s-it’s hot!",ross
"ross, would you just stop it! it’s getting really old.",rachel
i can’t believe no one believes me!,ross
"i do, i believe you.",phoebe
you do pheebs?,ross
yeah. but i also believed her when she said i was next.,phoebe
"quack-quack, quack-quack!! what are you quacking about?! dumb donald doo-doo!!",break
step away from the duck.,chandler
"ooh, sorry little mr. chic-a-dee, sorry you went doody in my hand! well, i guess we’re not going out anymore. whaa!!!",tommy
"backstage at joey’s play, joey is changing for the next scene as kate arrives, carrying her bags.]",break
joey!,kate
hey!,joey
"i’m soo glad i caught you, i couldn’t find you before.",kate
wh-wh-what’s going on? wh-what’s this about l.a.?,joey
they still want me for general hospital.,kate
"but, but wh-what about us?",joey
last night was wonderful. but i-i can’t stay here just for you.,kate
"well, so, stay for the museums!",joey
i’m sorry.,kate
"joey, onstage!",stage manager
"well can you at least stay to the end of the play? i mean, i’ll go to the airport with ya, i-i wanna say good bye.",joey
where are you vic?,lauren
flight’s in an hour. i-i gotta go.,kate
vic! vic! vic!!!,lauren
in a minute!!,joey
so this is it? victor?,lauren
"yeah, i guess it is. so you tell your great-great-granddaughter to look me up, because adrienne, baby, i’m gonna want to meet her.",joey
"so long, vic!",lauren
"monica and rachel's, the gang, except joey, is there. phoebe is, well you y'know.]",break
"phoebe, it’s been two days.",monica
"yeah, i know. oh, good thing it’s one of those 801 numbers. right?",phoebe
"phoebe, 800 is toll free, 801 is-is utah.",ross
"no, no, no, oh no-no-no, it’s has to be 800. yeah, every big utah-based company has one.",phoebe
phoe-be!!,rachel
"sorry, i’m so sorry, i will pay you back.",phoebe
"and yet, she’s still not hanging up the phone.",chandler
hang it up! hang up the phone!!,all
fine! fine! oh-oh!,phoebe
what?,monica
"well, i think i broke it. but that’s all right, here’s the number you can call.",phoebe
oh.,monica
"chandler and joey's, chandler and joey are playing with the duck and the chick.]",break
"hey, wouldn't be cool if our duck and chick had a little baby? we could call it chuck.",joey
or... dick.,chandler
hey.,ross
hey.,chandler and joey
"listen, i-i need a favor. umm, i was in the shower, and as i was cleansing myself, i ah, i-i, well i felt something.",ross
was it like a sneeze only better?,chandler
"no, no, i mean, i mean a thing on my body.",ross
what was it?,joey
"well, i don't know, it's-it's kinda in a place that's not... it's not visually accessible to me, and i was hoping maybe you guys could-could help me out.",ross
whoa!!!,chandler and joey
no!!,chandler
"come on you guys, it's no big deal!",ross
whoa-heeeiiiiii-iiiii-ah!! huh.,chandler
well what is it? is it a mole?,ross
"no, it's too wrinkly to be a mole.",joey
"well, eww. what? is it a pimple?",ross
"no, it's... fancier than a pimple. look ross, why don't you just go see a…",chandler
,rachel
"okay, well, it's definite, two more weeks of winter.",chandler
ahhh.,ross
"yeah, right.",joey
"central perk, chandler, joey, and rachel are there, as phoebe enters with her date.]",break
,phoebe
good deal.,vince
"yeah, and these are my friends. people. this is vince, vince the people.",phoebe
hi!,rachel
hey!,chandler
hey!,vince
vince is a fireman.,phoebe
wow! have you ever rescued anyone from a burning building before?,rachel
"98 hot saves, highest in the force.",vince
"well, y'know if joey and i played with matches we could get you up to an even hundred.",chandler
"fire safety is not a joke, son.",vince
"you're right, i know.",chandler
,vince
okay.,phoebe
"wow, he's cute, pheebs! but i thought you just started dating that kindergarten teacher.",rachel
"oh, jason? yeah, uh-huh, we're seeing each other tonight.",phoebe
what-pheebs?! two dates in one day? that's so unlike you.,rachel
"i know, i know! i'm like playing the field. y'know? like, juggling two guys, i'm sowing my wild oats. y'know? y'know, this kind've like y'know oat-sowin', field-playin' juggler.",phoebe
"so pheebs, do they know about each other?",joey
"does a dog's lips move when he reads? okay, no they don't.",phoebe
hey guys!,ross
hey.,joey
hi!,rachel
well?!,joey
"okay, how'd it go at the doctor's?",chandler
"well, he said there's definitely nothing to worry about, it's totally benign.",ross
well what is it?!,joey
"he couldn't even tell me! he said it was just some sort of skin... abnormality. and the worst thing is he-he-he said, he said, without being able to identify it, he was reluctant to remove it.",ross
"y'know what? you should go to my guy, because when i went in there with my third nipple. he just lopped it right off. y'know? so i guess i'm lucky. i mean not as lucky as people who were born with two nipples.",chandler
"at least they knew what yours was. y'know, yours had a name.",ross
"oh! maybe they'll name yours after you! y'know, they'll call it, the ross. and then people would be like, ""awww, he's got a ross.""",joey
"yeah, that'd be cool!",ross
pete's breaking up with me.,monica
what?!,all
"i just checked my messages, and he said that when he gets back from atlanta, we need to talk.",monica
and?,rachel
well that's it. people never say `we need to talk' unless it's something bad.,monica
"whoa, that doesn't necessarily mean that he's breaking up with you.",joey
really?!,monica
"yeah, maybe he just cheated on you.",joey
"a street, phoebe is walking with her second date, jason.]",break
"...and i know i'll never miss doing it, but i gotta tell you, it's pretty cool knowing that you're making a difference in a kid's life.",jason
"that is so great! oh, i... oh my god!",phoebe
whoa!,jason
oh my god!!!,phoebe
"ahh-ahh, we'd better call the fire department!",jason
no! no!,phoebe
"no, no?",jason
"well, we don't n-n-n-n-need a fireman, we'd, we'd like a good mechanic. oh my god, here they come! well, we gotta get out of here!",phoebe
w-w-w-wait! why?!,jason
"well look, if i wanted to see a fireman, i would date one. okay?",phoebe
"a doctor's office, ross is having his thing looked at by dr. rhodes.]",break
"th-th-that's all it is, a third nipple. y'know? just your run-of-the-mill third nipple. y'know? you can take it off. just slice that baby right off!",ross
"take your shirt off, and let's see what we're dealing with here. what are you doing?",dr. rhodes
just showing you my run-of-the-mill-slice-it-right-off third nipple.,ross
well that's not a third nipple.,dr. rhodes
no?,ross
"first of all, it's on your ass.",dr. rhodes
"well then, what is it?!",ross
"wait a minute, hold it. johnson! will you come in here a moment?",dr. rhodes
i'm with hamilton!,dr. johnson
"he's good with rear things, bring him in too.",dr. rhodes
"central perk, chandler, monica, and joey are there.]",break
"y'know what, if he's gonna break up with me, maybe i won't water his plants.",monica
"well, if he's gonna break up with you, maybe joey and i should water his plants. if y'know what i mean.",chandler
"or ha-ha, we could go over there and pee on them.",joey
"…and i-i can't take it! y'know? i'm just, always afraid one of them is gonna catch me with the other one. it's making me crazy.",phoebe
"well honey, then why don't you break up with one of them?",rachel
uh.,phoebe
"whoa-whoa-whoa. what ah, what happened to playing the field?",joey
"well, it just, it doesn't feel like playing anymore, it feels like work. it's like i'm working in the field.",phoebe
"so pheebs, pick one of them.",rachel
yeah. which one do you like more?,monica
"well, vince is great, y'know `cause, he's like a guy, guy. y'know? he's so burly, he's sooo very burly.",phoebe
"okay, good, so there you go. go with vince.",joey
"yeah, but jason's really sensitive.",phoebe
"well sensitive is important, pick him.",chandler
yeah.,phoebe
"oh sure, go with the sissy.",joey
jason is not a sissy!,phoebe
"oh no-no-no-no, i meant chandler.",joey
"dr. rhodes's office, a rather large group of doctors has now gathered to take a look at ross's thing. ross is none too pleased with the developments, he has a disgusted look on his face.]",break
y'know i have dinner plans!!,ross
"thank you soo much for coming on such a short notice. ladies and gentlemen, i've-i've-i've been practicing medicine for twenty-three years, and i'm stumped.",dr. rhodes
whoa.,all
"pete's apartment, monica is there to water the plants, and is showing the gang around.]",break
"okay, this is the den. all right, check this out. lights! oh, see you just need to find the right command.",monica
"yes, and the dimmer switch.",ross
"whoa! for a rich guy he's got, that's a pretty small tv.",joey
"no-no-no, that's a video-phone. but hey guys you're not supposed to be here, so please, do not touch anything.",monica
i-kea! this is comfortable.,chandler
this place is amazing.,rachel
"god, that is the nicest kitchen.",phoebe
i know.,monica
"no! but it's the nicest kitchen, the refrigerator told me to have a great day.",phoebe
look at this! a millionaire's checkbook.,joey
"joey, put that down!",monica
monica?,pete
i guess that's how.,monica
"hey monica, how's it going.",pete
"oh it’s umm, good! it's umm, it’s good, just here watering the plants.",monica
well don't forget that fiches over there by rachel.,pete
ahh... chandler's on the couch!!,rachel
"i see him, you guys are just the worst hiders ever.",pete
hey pete.,all
"hi, how ya doing?",joey
"ahh, pete, the other day when you said you needed to talk, umm, just so i know, is it good news or bad news.",monica
"oh, it's good news. no, it's definitely good news. hold on a second, i have another call. hey, how's it going?",pete
"oh no-no-no, it's still me.",monica
"ah, no it's not. i've got picture-in-picture here. monica? you. i'm gonna have to call you back.",pete
"oh, oh, okay umm, so i'll see you soon.",monica
"okay, i love you.",pete
i love you.,monica
"i love you, love you.",all
"okay. well, it's good news. it's good news.",monica
"so, what do you thing the good news is?",chandler
"oh, sorry, what do you think the good news is?",joey
oh my.,monica
monica's gonna marry a millionaire!!!,rachel
"hey, you gotta get mom on the phone. call mom! call mom!",ross
hello.,pete's mom
and that's pete's mom.,monica
"monica and rachel's, the gang is returning from pete’s.]",break
"mon you definitely have to make it a theme wedding, and the theme could be, “look how much money we’ve got!” y'know, i mean you could put, you could put money in-in the invitations! you-you could have like little money place settings. and ah, you could start with a money salad! i mean it’ll be dry, but people will like it.",rachel
"would you stop? we’ve only been going out a couple of weeks, i mean we don’t even know if he’s gonna propose.",monica
"yes, but this is pete. okay? he’s not like other people, on your first date he took you to rome. for most guys that’s like a third or fourth date kinda thing.",chandler
"well if-if that’s what it is, then it’s-it’s crazy.",monica
monica’s right. we’re talking about getting married here. okay? she-she can’t just rush into this.,ross
"oh please, what do you know! you married a lesbian!",rachel
all right. i gotta go. i have break up with vince.,phoebe
"oh, so you’re going with the teacher, huh?",chandler
"yeah, i like vince a lot, y'know? but, it’s just jason’s so sensitive, y'know? and in the long run, i think sensitive it’s just better than having just like a really, really, really nice jason! definitely jason! okay, wish me luck!",phoebe
good luck!,all
"oh my god!!! sorry, i was just imagining what it’d be like to catch the money bouquet.",rachel
"a fire house, phoebe has gone to break up with vince.]",break
"excuse me. umm, is vince here?",phoebe
oh sure. vince?!,fireman
yo!!,vince
wow! i didn’t know you guys actually used those.,phoebe
"so, what’s up?",vince
"umm, wow. this-this isn’t gonna be easy. umm, i don’t think we should see each other anymore.",phoebe
uh-huh. g-good deal.,vince
i’m sorry.,phoebe
"no-no it’s okay. it’s just that ah, i thought we had something pretty special here. and y'know i-i felt like you were someone i could finally open up to, and… that there’s so much in me i have to share with you yet.",vince
"oh my god, i didn’t…",phoebe
,vince
wait-wait-wait! wait!!,phoebe
"central perk, phoebe, ross, and monica are there.]",break
"i’m telling you, if you want to take care of that thing, you should go to my herbal guy.",phoebe
"thank you, but i want to remove it pheebs. i don’t want to make it savory.",ross
"y'know when girls sleep with guys with weird things on their body, they tell their friends about it.",monica
gimme this.,ross
"hi! okay, don’t be mad at me, but i couldn’t resist.",rachel
brides magazines?,monica
"yes, and i know that you’d say no if he asked you, but i’m sorry; how great would you look walking down the aisle in this donna carin.",rachel
like for clubbing.,phoebe
"it is so weird, i know what i said, but uh, this morning, i was lying in bed i was, i was imagining what it would be like to say yes. i know it’s a little sudden, and it’s a little rushed, and it’s totally not like me to do something like this, but that doesn’t mean i can’t. right? i mean i’m-i’m crazy about pete, and i know that we want the same things, and when i thought about saying yes, it made me really happy.",monica
oh my god.,rachel
i know.,monica
"hey mon umm, if you do get married, can i bring two guests?",phoebe
you didn’t break up with that fireman?,rachel
"no, that was my way of telling you. well, it turns out he’s incredibly sensitive, he keeps a journal and he paints. he even showed me charcoal drawings that he drew of me.",phoebe
wow!,rachel
"yeah, well he’d prefer water colors, but y'know, he has easy access to a lot of charcoal.",phoebe
"so then, are you going to dump jason?",monica
"well, yeah, because i have to break up with someone, and… okay so jason is sensitive, so… it’s really just about the math.",phoebe
"jason’s apartment, phoebe has gone to break up with jason.]",break
jason?,phoebe
"yeah, come on in.",jason
"so phoebe, you ah, sounded kinda serious on the phone, is ah, is anything wrong?",jason
nah-ha!,phoebe
"phoebe’s herbal guy’s office, ross is there about his thing. ross is looking around the exam room, and he goes over to a large bank of drawers, pulls one out and almost spills it as the herbalist, guru saj, enters.]",break
you must be ross.,guru saj
hi.,ross
i am guru saj.,guru saj
"listen, i got to tell you i’ve-i’ve never been to a guru before, so...",ross
"well, relax. if it makes you feel better, i’ve attended some of the finest medical schools in central america. well then, let’s take a look at this skin abnormality of yours. eeh, huh. as i suspected, it’s a koondis!",guru saj
what’s a koondis?,ross
"i don’t know, what’s a koondis with you? please, lie down! i’ve got a sav that oughta shrink that right up.",guru saj
i guess it’s worth a try.,ross
"oh sure, we should see results—whoa!! clearly not the way to go!!",guru saj
what?! what?!,ross
we appear to have angered it.,guru saj
we?! we angered it?!,ross
"oh, i think i see the problem. and i’m afraid we’re gonna have to use a much stronger tool. love.",guru saj
oh god!,ross
"ross, there is absolutely no way this is going to come off unless you start to…",guru saj
ow!!,ross
oops.,guru saj
"what was, what was that?",ross
well it’s gone.,guru saj
